0.000;4.0344;-0.937451;0.000000;;;
0.364;4.1647;-0.740075;0.001583;;;
0.728;4.3717;-0.808196;0.003978;;;
1.092;4.5737;-0.191147;0.006172;;;
1.457;4.7799;-0.001725;0.008463;;;
1.821;4.9807;-0.262148;0.010744;;;
2.185;5.1809;-2.244579;0.013033;;;
2.549;5.3837;-4.379162;0.015322;;;
2.913;5.5848;-4.300286;0.017611;;;
3.278;5.7846;-3.824507;0.019817;;;
3.642;5.9866;-2.013214;0.022107;;;
4.006;6.1881;-1.727107;0.024378;;;
4.370;6.3903;-2.674899;0.026667;;;
4.734;6.5926;-3.080381;0.028956;;;
5.099;6.7911;-2.889771;0.031170;;;
5.463;6.9906;-3.464988;0.033461;;;
5.827;7.1941;-1.891238;0.035752;;;
6.191;7.3938;-0.927281;0.038011;;;
6.555;7.5937;-0.999026;0.040300;;;
6.920;7.7954;-2.913405;0.042589;;;
7.284;7.9934;-4.707699;0.044815;;;
7.648;8.1898;-4.919890;0.047067;;;
8.012;8.3860;-7.060389;0.049356;;;
8.376;8.5791;-8.372994;0.051644;;;
8.741;8.7740;-8.774179;0.053933;;;
9.105;8.9694;-18.304729;0.056222;;;
9.469;9.1621;-30.039745;0.058459;;;
9.833;9.3548;-35.251381;0.060700;;;
10.197;9.5497;-36.153320;0.063041;;;
10.561;9.7416;-35.578003;0.065278;;;
10.925;9.9332;-38.407799;0.067567;;;
11.290;10.1265;-38.686783;0.069813;;;
11.654;10.3194;-38.845680;0.072104;;;
12.018;10.5108;-41.495701;0.074333;;;
12.382;10.7012;-40.555099;0.076622;;;
12.746;10.8887;-42.131851;0.078911;;;
13.110;11.0757;-42.807751;0.081200;;;
13.475;11.2627;-40.601303;0.083457;;;
13.839;11.4468;-40.047771;0.085678;;;
14.203;11.6326;-38.162609;0.087967;;;
14.567;11.8192;-36.215302;0.090256;;;
14.931;12.0024;-36.964249;0.092544;;;
15.295;12.1831;-35.297379;0.094833;;;
15.660;12.3632;-34.847076;0.097102;;;
16.024;12.5428;-35.092506;0.099393;;;
16.388;12.7214;-30.448643;0.101600;;;
16.752;12.9015;-28.800482;0.103889;;;
17.116;13.0809;-26.783947;0.106178;;;
17.480;13.2599;-23.516109;0.108456;;;
17.844;13.4367;-22.933062;0.110746;;;
18.209;13.6108;-22.616608;0.112944;;;
18.573;13.7853;-22.709751;0.115233;;;
18.937;13.9619;-23.745739;0.117522;;;
19.301;14.1378;-24.530518;0.119811;;;
19.665;14.3129;-20.522923;0.122100;;;
20.030;14.4890;-19.039507;0.124389;;;
