=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.04.26 16:49:14 =~=~=~=~=~=~=~=~=~=~=~=



















































































38572,22.805,23.688,0x00
39577,22.922,23.656,0x00
40582,22.719,23.578,0x00
41587,22.844,23.625,0x00
42592,23.102,23.578,0x00
43597,23.250,23.609,0x00
44602,23.539,23.609,0x00
45607,24.891,23.547,0x00
46612,25.859,23.578,0x00
47617,27.039,23.609,0x00
48622,28.445,23.609,0x00
49627,29.984,23.547,0x00
50632,31.430,23.531,0x00
51637,32.445,23.578,0x00
52642,33.383,23.547,0x00
53647,34.789,23.500,0x00
54652,35.758,23.531,0x00
55657,36.727,23.547,0x00
56662,37.711,23.531,0x00
57667,38.523,23.469,0x00
58672,39.516,23.531,0x00
59677,40.445,23.500,0x00
60682,41.461,23.547,0x00
61687,42.344,23.500,0x00
62692,43.102,23.500,0x00
63697,44.133,23.500,0x00
64702,45.102,23.469,0x00
65707,46.203,23.453,0x00
66712,47.188,23.500,0x00
67717,47.875,23.469,0x00
68722,48.953,23.500,0x00
69727,49.602,23.469,0x00
70732,50.391,23.469,0x00
71737,51.242,23.453,0x00
72742,52.398,23.453,0x00
73747,53.430,23.500,0x00
74752,54.484,23.469,0x00
75757,54.992,23.422,0x00
76762,55.688,23.422,0x00
77767,56.875,23.406,0x00
78772,57.297,23.422,0x00
79777,58.047,23.453,0x00
80782,59.328,23.422,0x00
81787,60.281,23.422,0x00
82792,60.633,23.453,0x00
83797,61.711,23.422,0x00
84802,62.492,23.375,0x00
85807,62.820,23.375,0x00
86812,63.633,23.375,0x00
87817,64.828,23.406,0x00
88822,66.203,23.406,0x00
89827,67.461,23.453,0x00
90832,67.859,23.406,0x00
91837,68.320,23.406,0x00
92842,69.023,23.422,0x00
93847,70.055,23.422,0x00
94852,71.266,23.422,0x00
95857,72.312,23.406,0x00
96862,72.844,23.406,0x00
97867,74.203,23.422,0x00
98872,75.602,23.406,0x00
99877,76.352,23.406,0x00
100882,77.336,23.375,0x00
101887,78.719,23.375,0x00
102892,80.039,23.375,0x00
103897,81.656,23.406,0x00
104902,82.695,23.375,0x00
105907,84.039,23.406,0x00
106912,84.750,23.375,0x00
107917,85.875,23.406,0x00
108922,86.508,23.344,0x00
109927,87.781,23.406,0x00
110932,88.531,23.375,0x00
111937,89.234,23.375,0x00
112942,90.000,23.406,0x00
113947,90.867,23.344,0x00
114952,91.852,23.375,0x00
115957,92.250,23.344,0x00
116962,93.242,23.375,0x00
117967,94.227,23.375,0x00
118972,94.906,23.375,0x00
119977,95.602,23.375,0x00
120982,96.344,23.375,0x00
121987,97.305,23.328,0x00
122992,97.930,23.297,0x00
123997,98.844,23.328,0x00
125002,99.438,23.344,0x00
126007,100.109,23.375,0x00
127012,101.133,23.344,0x00
128017,102.219,23.297,0x00
129022,103.023,23.328,0x00
130027,103.586,23.328,0x00
131032,104.234,23.344,0x00
132037,105.383,23.328,0x00
133042,106.156,23.344,0x00
134047,107.078,23.297,0x00
135052,107.719,23.297,0x00
136057,108.914,23.328,0x00
137062,109.391,23.266,0x00
138067,110.492,23.328,0x00
139072,111.258,23.297,0x00
140077,112.195,23.250,0x00
141082,112.930,23.266,0x00
142087,113.320,23.250,0x00
143092,114.227,23.297,0x00
144097,114.547,23.266,0x00
145102,115.461,23.266,0x00
146107,116.117,23.219,0x00
147112,117.383,23.266,0x00
148117,117.930,23.266,0x00
149122,118.766,23.250,0x00
150127,119.156,23.266,0x00
151132,119.992,23.250,0x00
152137,120.938,23.266,0x00
153142,121.688,23.188,0x00
154147,122.539,23.250,0x00
155152,123.109,23.219,0x00
156157,123.844,23.250,0x00
157162,124.133,23.250,0x00
158167,125.219,23.188,0x00
159172,126.680,23.219,0x00
160177,126.945,23.219,0x00
161182,127.484,23.219,0x00
162187,128.188,23.219,0x00
163192,129.039,23.219,0x00
164197,130.055,23.219,0x00
165202,130.500,23.188,0x00
166207,131.258,23.219,0x00
167212,131.922,23.188,0x00
168217,132.719,23.219,0x00
169222,133.578,23.172,0x00
170227,133.688,23.188,0x00
171232,134.148,23.219,0x00
172237,134.984,23.188,0x00
173242,135.523,23.219,0x00
174247,136.023,23.250,0x00
175252,136.266,23.188,0x00
176257,137.289,23.172,0x00
177262,138.109,23.188,0x00
178267,139.227,23.188,0x00
179272,139.680,23.188,0x00
180277,140.719,23.188,0x00
181282,141.594,23.172,0x00
182287,142.375,23.141,0x00
183292,143.164,23.188,0x00
184297,143.352,23.141,0x00
185302,143.867,23.141,0x00
186307,144.164,23.141,0x00
187312,144.992,23.141,0x00
188317,145.445,23.125,0x00
189322,146.477,23.141,0x00
190327,147.406,23.172,0x00
191332,148.016,23.141,0x00
192337,148.766,23.172,0x00
193342,149.203,23.141,0x00
194347,149.680,23.172,0x00
195352,150.367,23.172,0x00
196357,151.438,23.141,0x00
197362,152.133,23.141,0x00
198367,152.648,23.141,0x00
199372,153.281,23.172,0x00
200377,153.555,23.172,0x00
201382,154.172,23.094,0x00
202387,155.594,23.094,0x00
203392,156.219,23.125,0x00
204397,156.414,23.172,0x00
205402,157.047,23.094,0x00
206407,157.609,23.094,0x00
207412,158.469,23.125,0x00
208417,159.125,23.094,0x00
209422,159.883,23.125,0x00
210427,160.391,23.094,0x00
211432,160.805,23.094,0x00
212437,161.430,23.141,0x00
213442,162.094,23.094,0x00
214447,162.766,23.125,0x00
215452,163.555,23.125,0x00
